alt,utterance,question,alt_tag,item_number,syntax_interpretation,list_number
active/passive,The girl kicked the ball.,Did the girl kick something/someone?,1AP,1,Yes,1
active/passive,The watch bought the plumber.,Did the plumber buy something/someone?,2AI,2,No,1
active/passive,The man was driven by the truck.,Did the man drive something/someone?,3PI,3,No,1
active/passive,The stamp was licked by the secretary.,Did the secretary lick something/someone?,4PP,4,Yes,1
active/passive,The mother set the table.,Did the mother set something/someone?,5AP,5,Yes,1
active/passive,The blanket folded the daughter.,Did the blanket fold something/someone?,6AI,6,Yes,1
active/passive,The father was sharpened by the saw.,Did the saw sharpen something/someone?,7PI,7,Yes,1
active/passive,The door was opened by the niece.,Did the door open something/someone?,8PP,8,No,1
active/passive,The boy ate the pizza.,Did the pizza eat something/someone?,9AP,9,No,1
active/passive,The bowl broke the grandfather.,Did the bowl break something/someone?,10AI,10,Yes,1
active/passive,The woman was lost by the diamond.,Did the diamond lose something/someone?,11PI,11,Yes,1
active/passive,The oven was cleaned by the grandmother.,Did the oven clean something/someone?,12PP,12,No,1
active/passive,The electrician stole the hammer.,Did the hammer steal something/someone?,13AP,13,No,1
active/passive,The window closed the sister.,Did the window close something/someone?,14AI,14,Yes,1
active/passive,The grandson was sipped by the water.,Did the water sip something/someone?,15PI,15,Yes,1
active/passive,The train was boarded by the granddaughter.,Did the granddaughter board something/someone?,16PP,16,Yes,1
active/passive,The aunt purchased the book.,Did the aunt purchase something/someone?,17AP,17,Yes,1
active/passive,The boat sailed the uncle.,Did the uncle sail something/someone?,18AI,18,No,1
active/passive,The wife was lit by the candle.,Did the wife light something/someone?,19PI,19,No,1
active/passive,The letter was written by the husband.,Did the husband write something/someone?,20PP,20,Yes,1
filler,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,f1,21,Yes,1
filler,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,f2,22,Yes,1
filler,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,f3,23,Yes,1
filler,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,f4,24,Yes,1
filler,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,f5,25,Yes,1
filler,The spy monitored a baroness for several months.,Did the spy watch someone/something?,f6,26,Yes,1
filler,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,f7,27,Yes,1
filler,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,f8,28,Yes,1
filler,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,f9,29,Yes,1
filler,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,f10,30,Yes,1
filler,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,f11,31,Yes,1
filler,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,f12,32,Yes,1
filler,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,f13,33,Yes,1
filler,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,f14,34,Yes,1
filler,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,f15,35,Yes,1
filler,The translator found a car for the ambassador because he could not speak Lebanese.,Was a car found for someone/something?,f16,36,Yes,1
filler,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,f17,37,Yes,1
filler,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,f18,38,Yes,1
filler,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,f19,39,Yes,1
filler,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,f20,40,Yes,1
filler,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,f21,41,No,1
filler,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,f22,42,No,1
filler,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,f23,43,No,1
filler,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,f24,44,No,1
filler,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,f25,45,No,1
filler,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,f26,46,No,1
filler,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,f27,47,No,1
filler,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,f28,48,No,1
filler,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,f29,49,No,1
filler,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,f30,50,No,1
filler,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,f31,51,No,1
filler,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,f32,52,No,1
filler,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,f33,53,No,1
filler,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,f34,54,No,1
filler,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,f35,55,No,1
filler,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,f36,56,No,1
filler,The jewelry-maker was commissioned by the millionaire.,Did the millionaire receive someone/something?,f37,57,No,1
filler,The cheerleader was treated by a doctor who had been watching the game.,Did the cheerleader call someone/something?,f38,58,No,1
filler,The alum was offended by the solicitor because he asked very personal questions.,Did the alum receive someone/something?,f39,59,No,1
filler,The astronaut accepted the mission.,Did the astronaut receive someone/something?,f40,60,No,1
